iter	Passed	Remaining
464	806	927
465	807	924
466	807	921
467	808	918
468	808	915
469	809	913
470	810	910
471	811	907
472	813	906
473	838	930
474	840	928
475	841	926
476	842	924
477	843	921
478	845	919
479	846	917
480	848	915
481	849	912
482	850	909
483	850	907
484	852	905
485	853	902
486	854	899
487	855	897
488	856	894
489	857	892
490	858	890
491	860	887
492	862	887
493	863	884
494	864	882
495	865	879
496	866	877
497	867	874
498	868	871
499	869	869
500	870	866
501	870	863
502	878	867
503	879	865
504	879	862
505	880	859
506	881	857
507	882	854
508	883	852
509	884	849
510	884	846
511	885	844
512	887	842
513	888	840
514	889	837
515	892	836
516	893	834
517	894	832
518	896	830
519	911	841
520	912	839
521	913	836
522	915	834
523	915	832
524	916	829
525	917	826
526	918	824
527	919	821
528	920	819
529	920	816
530	921	814
531	928	816
532	929	814
533	930	812
534	931	809
535	932	807
536	933	804
537	934	802
538	935	799
539	936	797
540	937	794
541	940	794
542	941	792
543	942	789
544	943	787
545	944	785
546	945	782
547	946	780
548	947	777
549	947	775
550	951	775
551	952	773
552	956	773
553	957	771
554	958	768
555	959	766
556	960	763
557	961	761
558	962	759
559	962	756
560	963	754
561	964	751
562	965	749
563	967	747
564	967	745
565	969	743
566	970	741
567	972	739
568	973	737
569	974	735
570	975	732
571	976	730
572	977	728
573	978	726
574	979	723
575	980	721
576	981	719
577	981	716
578	982	714
579	983	712
580	989	713
581	990	711
582	991	709
583	992	707
584	993	705
585	1008	712
586	1010	710
587	1011	708
588	1011	706
589	1013	704
590	1014	702
591	1017	701
592	1020	700
593	1021	698
594	1022	695
595	1023	693
596	1024	691
597	1025	689
598	1026	687
599	1028	685
600	1029	683
601	1029	680
602	1030	678
603	1032	677
604	1033	674
605	1034	672
606	1036	671
607	1037	668
608	1037	666
609	1038	663
610	1039	661
611	1039	659
612	1040	656
613	1040	654
614	1041	651
615	1042	649
616	1042	647
617	1043	644
618	1043	642
619	1044	639
620	1044	637
621	1045	635
622	1051	636
623	1052	634
624	1053	631
625	1053	629
626	1054	627
627	1055	625
628	1056	623
629	1057	620
630	1058	618
631	1058	616
632	1059	614
633	1059	611
634	1060	609
635	1060	607
636	1063	605
637	1064	604
638	1065	602
639	1066	599
640	1067	597
641	1067	595
642	1068	593
643	1069	590
644	1069	588
645	1070	586
646	1070	584
647	1071	582
648	1072	579
649	1072	577
650	1073	575
651	1074	573
652	1074	571
653	1075	568
654	1075	566
655	1076	564
656	1081	564
657	1081	562
658	1082	560
659	1082	557
660	1083	555
661	1084	553
662	1084	551
663	1085	549
664	1086	547
665	1086	544
666	1087	542
667	1087	540
668	1088	538
669	1088	536
670	1089	533
671	1089	531
672	1090	529
673	1090	527
674	1091	525
675	1092	523
676	1093	521
677	1093	519
678	1094	517
679	1095	515
680	1095	513
681	1096	511
682	1097	509
683	1097	507
684	1098	505
685	1098	502
686	1099	500
687	1100	498
688	1100	496
689	1101	494
690	1101	492
691	1102	490
692	1102	488
693	1103	486
694	1103	484
695	1103	482
696	1104	480
697	1104	478
698	1105	475
699	1105	473
700	1106	471
701	1108	470
702	1109	468
703	1110	466
704	1111	464
705	1111	462
706	1112	460
707	1112	458
708	1113	456
709	1114	455
710	1114	453
711	1115	451
712	1116	449
713	1117	447
714	1118	445
715	1118	443
716	1119	441
717	1122	440
718	1123	438
719	1124	437
720	1125	435
721	1126	433
722	1127	431
723	1128	430
724	1128	428
725	1129	426
726	1129	424
727	1130	422
728	1131	420
729	1131	418
730	1132	416
731	1132	414
732	1133	412
733	1134	410
734	1134	409
735	1140	408
736	1141	407
737	1142	405
738	1143	403
739	1144	401
740	1144	400
741	1145	398
742	1145	396
743	1146	394
744	1147	392
745	1147	390
746	1148	388
747	1149	387
748	1149	385
749	1151	383
750	1153	382
751	1153	380
752	1154	378
753	1155	376
754	1155	375
755	1156	373
756	1156	371
757	1157	369
758	1157	367
759	1158	365
760	1158	363
761	1159	362
762	1159	360
763	1160	358
764	1161	356
765	1161	354
766	1162	353
767	1162	351
768	1163	349
769	1163	347
770	1163	345
771	1164	343
772	1167	342
773	1168	341
774	1169	339
775	1169	337
776	1170	335
777	1170	334
778	1171	332
779	1172	330
780	1172	328
781	1173	327
782	1173	325
783	1174	323
784	1174	321
785	1174	319
786	1175	318
787	1175	316
788	1176	314
789	1177	312
790	1178	311
791	1180	309
792	1180	308
793	1181	306
794	1182	304
795	1182	303
796	1183	301
797	1183	299
798	1184	297
799	1184	296
800	1185	294
801	1185	292
802	1186	291
803	1186	289
804	1187	287
805	1188	285
806	1188	284
807	1189	282
808	1189	280
809	1189	279
810	1190	277
811	1190	275
812	1191	274
813	1192	272
814	1192	270
815	1193	269
816	1201	269
817	1201	267
818	1202	265
819	1202	264
820	1203	262
821	1203	260
822	1204	258
823	1204	257
824	1205	255
825	1205	254
826	1206	252
827	1206	250
828	1207	249
829	1207	247
830	1208	245
831	1208	244
832	1209	242
833	1210	241
834	1211	239
835	1212	237
836	1213	236
837	1213	234
838	1214	233
839	1215	231
840	1215	229
841	1216	228
842	1216	226
843	1217	224
844	1217	223
845	1218	221
846	1218	220
847	1219	218
848	1220	217
849	1220	215
850	1221	213
851	1222	212
852	1222	210
853	1223	209
854	1224	207
855	1228	206
856	1228	205
857	1229	203
858	1230	201
859	1231	200
860	1231	198
861	1232	197
862	1233	195
863	1234	194
864	1235	192
865	1239	191
866	1240	190
867	1240	188
868	1241	187
869	1242	185
870	1243	184
871	1244	182
872	1244	181
873	1245	179
874	1246	178
875	1247	176
876	1247	174
877	1248	173
878	1248	171
879	1249	170
880	1250	168
881	1250	167
882	1251	165
883	1251	164
884	1259	163
885	1260	162
886	1261	160
887	1261	159
888	1262	157
889	1263	156
890	1263	154
891	1264	153
892	1265	151
893	1265	150
894	1266	148
895	1266	147
896	1267	145
897	1269	144
898	1270	142
899	1271	141
900	1272	139
901	1273	138
902	1274	136
903	1274	135
904	1275	133
905	1276	132
906	1277	130
907	1278	129
908	1278	128
909	1279	126
910	1280	125
911	1280	123
912	1281	122
913	1281	120
914	1282	119
915	1290	118
916	1292	116
917	1294	115
918	1295	114
919	1295	112
920	1297	111
921	1301	110
922	1303	108
923	1304	107
924	1305	105
925	1306	104
926	1319	103
927	1319	102
928	1320	100
929	1321	99
930	1321	97
931	1322	96
932	1323	95
933	1323	93
934	1325	92
935	1326	90
936	1327	89
937	1328	87
938	1328	86
939	1329	84
940	1330	83
941	1330	81
942	1331	80
943	1332	79
944	1332	77
945	1333	76
946	1334	74
947	1340	73
948	1342	72
949	1343	70
950	1344	69
951	1345	67
952	1346	66
953	1347	64
954	1347	63
955	1348	62
956	1349	60
957	1349	59
958	1350	57
959	1353	56
960	1354	54
961	1357	53
962	1359	52
963	1360	50
964	1361	49
965	1363	48
966	1378	47
967	1380	45
968	1388	44
969	1390	43
970	1391	41
971	1392	40
972	1394	38
973	1395	37
974	1396	35
975	1405	34
976	1406	33
977	1407	31
978	1409	30
979	1411	28
980	1412	27
981	1416	25
982	1418	24
983	1419	23
984	1420	21
985	1421	20
986	1421	18
987	1422	17
988	1422	15
989	1423	14
990	1424	12
991	1424	11
992	1425	10
993	1426	8
994	1426	7
995	1427	5
996	1427	4
997	1428	2
998	1429	1
999	1430	0
